time;;Gb(i);Gd(i);Gr(i);H_sun;T2m;WS10m;Int
20180109:2210;;0.0;0.0;0.0;0.0;6.41;3.31;0.0
20180109:2310;;0.0;0.0;0.0;0.0;6.74;3.31;0.0
20180110:0010;;0.0;0.0;0.0;0.0;6.88;3.31;0.0
20180110:0110;;0.0;0.0;0.0;0.0;6.84;3.38;0.0
20180110:0210;;0.0;0.0;0.0;0.0;6.98;3.45;0.0
20180110:0310;;0.0;0.0;0.0;0.0;7.14;3.52;0.0
20180110:0410;;0.0;0.0;0.0;0.0;7.27;3.59;0.0
20180110:0510;;0.0;0.0;0.0;0.0;7.37;3.72;0.0
20180110:0610;;0.0;0.0;0.0;0.0;7.23;3.45;0.0
20180110:0710;;0.0;0.0;0.0;0.0;6.66;3.38;0.0
20180110:0810;;2.0;15.6;0.0;3.23;6.51;3.45;0.0
20180110:0910;;7.0;64.0;0.0;9.55;6.95;3.45;0.0
20180110:1010;;0.0;46.0;0.0;14.15;7.44;3.52;0.0
20180110:1110;;0.0;67.0;0.0;16.65;7.87;3.66;0.0
20180110:1210;;51.0;133.0;0.0;16.82;8.1;3.52;0.0
20180110:1310;;15.0;109.0;0.0;14.63;8.21;3.24;0.0
20180110:1410;;8.0;69.0;0.0;10.29;8.09;2.9;0.0
20180110:1510;;0.0;6.0;0.0;4.18;7.83;2.55;0.0
20180110:1610;;0.0;0.0;0.0;0.0;7.1;2.21;0.0
20180110:1710;;0.0;0.0;0.0;0.0;6.67;2.07;0.0
20180110:1810;;0.0;0.0;0.0;0.0;6.68;2.0;0.0
20180110:1910;;0.0;0.0;0.0;0.0;6.85;1.72;0.0
20180110:2010;;0.0;0.0;0.0;0.0;6.71;1.59;0.0
20180110:2110;;0.0;0.0;0.0;0.0;6.66;1.45;0.0
20180110:2210;;0.0;0.0;0.0;0.0;6.55;1.31;0.0
20180110:2310;;0.0;0.0;0.0;0.0;6.42;1.31;0.0
20180111:0010;;0.0;0.0;0.0;0.0;6.39;1.1;0.0
20180111:0110;;0.0;0.0;0.0;0.0;6.12;1.03;0.0
20180111:0210;;0.0;0.0;0.0;0.0;5.75;1.17;0.0
20180111:0310;;0.0;0.0;0.0;0.0;5.83;1.1;0.0
20180111:0410;;0.0;0.0;0.0;0.0;5.78;1.17;0.0
20180111:0510;;0.0;0.0;0.0;0.0;5.87;1.31;0.0
20180111:0610;;0.0;0.0;0.0;0.0;5.86;1.31;0.0
20180111:0710;;0.0;0.0;0.0;0.0;5.72;0.97;0.0
20180111:0810;;8.0;17.14;0.0;3.31;5.58;1.03;0.0
